text_to_classify,expected_classification,expected_classification_label,prediction,prediction_label,is_accurate
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
dry eye syndrome,8974,Eye (Vision),8974,Eye (Vision),True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
"tendonitis (tendinitis) in elbow, bilateral",8993,Musculoskeletal - Elbow,8993,Musculoskeletal - Elbow,True
"shin splints, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"knee strain or sprain, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"tendonitis (tendinitis) in ankle, bilateral",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
middle back strain (thoracic strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"shoulder impingement syndrome, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"plantar fasciitis, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"radiculopathy, bilateral lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
persistent depressive disorder (dysthymic disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"diabetes, type 1 or type 2",8973,Endocrine,8973,Endocrine,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
rhinitis,9012,Respiratory,9012,Respiratory,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"ankle sprain, right",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
chronic bronchitis,9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
anal or perianal fistula (fistula-in-ano),8968,Digestive,8968,Digestive,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
Unemployability,6990,Unemployability,6990,Unemployability,True
schizophrenia,8989,Mental Disorders,8989,Mental Disorders,True
eczema (atopic dermatitis),9016,Skin,9016,Skin,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
"testicular cancer, left",8935,Cancer - Genitourinary,8935,Cancer - Genitourinary,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
chronic fatigue syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"shin splints, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"bursitis in hip, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
persistent depressive disorder (dysthymic disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
"degenerative arthritis (osteoarthritis) in knee, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"spinal arthritis, back",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"shoulder strain, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"wrist sprain, right",9004,Musculoskeletal - Wrist,9004,Musculoskeletal - Wrist,True
"shoulder impingement syndrome, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
asthma,9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"ankylosis in knee, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
bulimia (type of eating disorder),8970,Eating Disorders,8970,Eating Disorders,True
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016,Skin,9016,Skin,True
"knee instability, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"hip sprain, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
ankle,8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
elbow,8993,Musculoskeletal - Elbow,8993,Musculoskeletal - Elbow,True
feet,8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
Ibs,8968,Digestive,8968,Digestive,True
"knee or patellar fracture, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"ankylosis in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"hip impingement (femoroacetabular impingement or FAI), bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"ankylosis in hip, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"knee instability, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
sleep apnea,9012,Respiratory,9012,Respiratory,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"tibia or fibula fracture, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
costochondritis,249482,Musculoskeletal - Bones,249482,Musculoskeletal - Bones,True
"visual impairment, including blurry vision, blindness and double vision",8974,Eye (Vision),8974,Eye (Vision),True
"degenerative arthritis (osteoarthritis) in knee, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"hip impingement (femoroacetabular impingement or FAI), bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"intervertebral disc syndrome (IVDS), back",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"intervertebral disc syndrome (IVDS), neck",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
lower back sprain (lumbosacral sprain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
deviated septum,9012,Respiratory,9012,Respiratory,True
pulmonary granuloma (lung nodule),8965,Cyst/Benign Growth - Respiratory,8965,Cyst/Benign Growth - Respiratory,True
"bunions (hallux valgus), right",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
chronic fatigue syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
"temporomandibular disorder, including TMJ",249481,Dental and Oral - Musculoskeletal,249481,Dental and Oral - Musculoskeletal,True
"knee strain or sprain, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
hemorrhoids,8968,Digestive,8968,Digestive,True
asthma,9012,Respiratory,9012,Respiratory,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
"knee strain or sprain, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"shoulder strain, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
middle back strain (thoracic strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
sleep apnea,9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"knee instability, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
hemorrhoids,8968,Digestive,8968,Digestive,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"plantar fasciitis, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"tendonitis (tendinitis) in knee, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
acne,9016,Skin,9016,Skin,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
"tendonitis (tendinitis) in wrist, bilateral",9004,Musculoskeletal - Wrist,9004,Musculoskeletal - Wrist,True
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"tendonitis (tendinitis) in hand or fingers, bilateral",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
"tendonitis (tendinitis) in ankle, bilateral",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
chronic fatigue syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",True
sleep apnea,9012,Respiratory,9012,Respiratory,True
dry eye syndrome,8974,Eye (Vision),8974,Eye (Vision),True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"shoulder strain, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"greater trochanteric pain syndrome (lateral hip pain), bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"knee strain or sprain, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"shin splints, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"plantar fasciitis, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"hip sprain, right",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
urinary incontinence (loss of bladder control),8975,Genitourinary,8975,Genitourinary,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"bunions (hallux valgus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
"degenerative arthritis (osteoarthritis) in shoulder, right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
"radiculopathy, right upper extremities",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
sleep apnea,9012,Respiratory,9012,Respiratory,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
